ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Tiruchirappalli (East),141,GEN,Tiruchirappalli,Manoharan R,All India Anna Dravida Munnetra Kazhagam,"2,00,911","1,51,439",75.40%,20626,13.60%,
Thiruverumbur,142,GEN,Tiruchirappalli,S.Senthilkumar,Desiya Murpokku Dravida Kazhagam,"2,09,375","1,50,543",71.90%,4205,2.80%,
Lalgudi,143,GEN,Tiruchirappalli,Soundarapandian.A,Dravida Munetra Kazhagam,"1,75,167","1,46,201",83.50%,7155,4.90%,
Manachanallur,144,GEN,Tiruchirappalli,Poonachi. T.P.,All India Anna Dravida Munnetra Kazhagam,"1,86,107","1,56,437",84.10%,19190,12.30%,
Musiri,145,GEN,Tiruchirappalli,N.R.Sivapathy,All India Anna Dravida Munnetra Kazhagam,"1,84,922","1,50,808",81.60%,43791,29.00%,
Thuraiyur,146,SC,Tiruchirappalli,Indraganthi T,All India Anna Dravida Munnetra Kazhagam,"1,80,988","1,48,452",82.00%,10935,7.40%,
Perambalur,147,SC,Perambalur,Tamizhselvan.R,All India Anna Dravida Munnetra Kazhagam,"2,28,431","1,88,725",82.60%,19079,10.10%,
Kunnam,148,GEN,Perambalur,Sivasankar.S.S,Dravida Munetra Kazhagam,"2,12,782","1,74,294",81.90%,22957,13.20%,
Ariyalur,149,GEN,Perambalur,"Manivel, Durai.",All India Anna Dravida Munnetra Kazhagam,"2,18,992","1,85,749",84.80%,17820,9.60%,
Jayankondam,150,GEN,Perambalur,Guru @ Gurunathan J,Pattali Makkal Katchi,"2,16,216","1,79,981",83.20%,15138,8.40%,
Tittakudi,151,SC,Cuddalore,K.Tamil Azhagan,Desiya Murpokku Dravida Kazhagam,"1,75,752","1,39,261",79.20%,12642,9.10%,
Vriddhachalam,152,GEN,Cuddalore,V. Muthukumar,Desiya Murpokku Dravida Kazhagam,"1,95,903","1,58,288",80.80%,13641,8.60%,
Neyveli,153,GEN,Cuddalore,M.P.S.Sivasubramaniyan,All India Anna Dravida Munnetra Kazhagam,"1,66,099","1,37,357",82.70%,8118,5.90%,
Panruti,154,GEN,Cuddalore,P.Sivakolunthu,Desiya Murpokku Dravida Kazhagam,"1,93,924","1,61,443",83.30%,10716,6.60%,
Cuddalore,155,GEN,Cuddalore,M.C. Sampath,All India Anna Dravida Munnetra Kazhagam,"1,81,920","1,41,930",78.00%,33678,23.70%,
Kurinjipadi,156,GEN,Cuddalore,R.Rajendran,All India Anna Dravida Munnetra Kazhagam,"1,81,915","1,56,694",86.10%,23848,15.20%,
Bhuvanagiri,157,GEN,Cuddalore,Selvi,All India Anna Dravida Munnetra Kazhagam,"2,07,558","1,70,265",82.00%,13117,7.70%,
Chidambaram,158,GEN,Cuddalore,K.Balakrishnan,Communist Party Of India (MARXIST),"1,91,446","1,49,166",77.90%,2879,1.90%,
Kattumannarkoil,159,SC,Cuddalore,N.Murugumaran,All India Anna Dravida Munnetra Kazhagam,"1,82,058","1,44,773",79.50%,31725,21.90%,
Sirkazhi,160,SC,Nagapattinam,Sakthi . M,All India Anna Dravida Munnetra Kazhagam,"1,94,824","1,53,561",78.80%,27379,17.80%,
Mayiladuthurai,161,GEN,Nagapattinam,R.Arulselvan,Desiya Murpokku Dravida Kazhagam,"1,84,990","1,41,847",76.70%,3017,2.10%,
Poompuhar,162,GEN,Nagapattinam,Pavunraj.S,All India Anna Dravida Munnetra Kazhagam,"2,12,106","1,69,457",79.90%,11373,6.70%,
Nagapattinam,163,GEN,Nagapattinam,K A Jayapal,All India Anna Dravida Munnetra Kazhagam,"1,51,882","1,20,690",79.50%,5743,4.80%,
Kilvelur,164,SC,Nagapattinam,Mahalingam P,Communist Party Of India (MARXIST),"1,41,185","1,21,254",85.90%,724,0.60%,
Vedaranyam,165,GEN,Nagapattinam,N.V.Kamaraj,All India Anna Dravida Munnetra Kazhagam,"1,55,065","1,30,708",84.30%,10928,8.40%,
Thiruthuraipoondi,166,SC,Thiruvarur,K.Ulaganathan,Communist Party Of India,"1,93,844","1,56,294",80.60%,22287,14.30%,
Mannargudi,167,GEN,Thiruvarur,"Rajaa, T.R.B.",Dravida Munetra Kazhagam,"2,05,522","1,66,186",80.90%,3982,2.40%,
Thiruvarur,168,GEN,Thiruvarur,Karunanidhi. M,Dravida Munetra Kazhagam,"2,09,526","1,73,159",82.60%,50249,29.00%,
Nannilam,169,GEN,Thiruvarur,Kamaraj.R,All India Anna Dravida Munnetra Kazhagam,"2,18,867","1,80,684",82.60%,10404,5.80%,
Thiruvidaimarudur,170,SC,Thanjavur,Chezhiaan.Govi,Dravida Munetra Kazhagam,"1,96,673","1,60,392",81.60%,394,0.20%,
Kumbakonam,171,GEN,Thanjavur,Anbalagan.G,Dravida Munetra Kazhagam,"2,00,377","1,61,408",80.60%,1272,0.80%,
Papanasam,172,GEN,Thanjavur,R. Doraikkannu,All India Anna Dravida Munnetra Kazhagam,"1,98,203","1,60,162",80.80%,18007,11.20%,
Thiruvaiyaru,173,GEN,Thanjavur,M.Rethinasami,All India Anna Dravida Munnetra Kazhagam,"2,07,331","1,73,706",83.80%,12962,7.50%,
Thanjavur,174,GEN,Thanjavur,M.Rengasamy,All India Anna Dravida Munnetra Kazhagam,"2,01,995","1,49,130",73.80%,7329,4.90%,
Orathanadu,175,GEN,Thanjavur,R.Vaithilingam,All India Anna Dravida Munnetra Kazhagam,"1,93,262","1,58,681",82.10%,32644,20.60%,
Pattukkottai,176,GEN,Thanjavur,N.R.Rengarajan,Indian National Congress,"1,87,628","1,46,353",78.00%,8779,6.00%,
Peravurani,177,GEN,Thanjavur,C. Arunpandian,Desiya Murpokku Dravida Kazhagam,"1,73,298","1,40,044",80.80%,7194,5.10%,
Gandharvakottai,178,SC,Pudukkottai,Subramanian. N,All India Anna Dravida Munnetra Kazhagam,"1,52,708","1,22,381",80.10%,19699,16.10%,
Viralimalai,179,GEN,Pudukkottai,Vijaya Basker. C,All India Anna Dravida Munnetra Kazhagam,"1,60,449","1,38,022",86.00%,39309,28.50%,
Pudukkottai,180,GEN,Pudukkottai,Muthukumaran.P,Communist Party Of India,"1,77,408","1,39,957",78.90%,3101,2.20%,
Thirumayam,181,GEN,Pudukkottai,Vairamuthu. P.K.,All India Anna Dravida Munnetra Kazhagam,"1,71,992","1,35,429",78.70%,31135,23.00%,
