ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Rajapalayam,209,SC,"Raman, K.",Indian National Congress,"1,41,300","1,04,039",73.60%,"9,746",9.40%
Vilathikulam,210,GEN,S.Kumara Gurubara Ramanathan,Dravida Munetra Kazhagam,"1,21,435","83,961",69.10%,"6,338",7.50%
Ottapidaram,211,SC,R.S. Arumugam,Indian National Congress,"1,10,989","74,147",66.80%,"25,322",34.20%
Koilpatti,212,GEN,R.Rangasamy,Indian National Congress,"1,20,666","86,609",71.80%,"17,296",20.00%
Sankaranayanarkoil,213,SC,S.Sangaralingam,All India Anna Dravida Munnetra Kazhagam,"1,30,144","95,355",73.30%,"12,383",13.00%
Vasudevanallur,214,SC,"Eswaran, R.",Indian National Congress,"1,20,134","84,590",70.40%,"22,428",26.50%
Kadayanallur,215,GEN,"Perumal, T.",All India Anna Dravida Munnetra Kazhagam,"1,11,405","96,930",87.00%,"7,602",7.80%
Tenkasi,216,GEN,T.R. Venkataramanan,Indian National Congress,"1,25,902","99,409",79.00%,"21,628",21.80%
Alangulam,217,GEN,Shanmuchiah Pendian N.,All India Anna Dravida Munnetra Kazhagam,"1,24,914","94,631",75.80%,"21,033",22.20%
Tirunelveli,218,GEN,"Narayanan, S.",All India Anna Dravida Munnetra Kazhagam,"1,29,277","97,301",75.30%,"18,862",19.40%
Palayamcottai,219,GEN,"Shamsulalam, V.S.T.",Dravida Munetra Kazhagam,"1,27,308","89,952",70.70%,"4,205",4.70%
Cheranmahadevi,220,GEN,"Pandian, P.H.",All India Anna Dravida Munnetra Kazhagam,"1,12,131","87,106",77.70%,"29,673",34.10%
Ambasamudram,221,GEN,Balasubramanian,All India Anna Dravida Munnetra Kazhagam,"1,13,411","85,922",75.80%,"8,666",10.10%
Nanguneri,222,GEN,John Vincent M.,All India Anna Dravida Munnetra Kazhagam,"1,22,639","83,894",68.40%,"14,018",16.70%
Radhapuram,223,GEN,Kumari Ananthan,Gandhi Kamraj National Congress,"1,24,210","80,714",65.00%,"15,138",18.80%
Sattangulam,224,GEN,Ramasami S.N.,Gandhi Kamraj National Congress,"1,25,821","74,689",59.40%,"8,617",11.50%
Tiruchendur,225,GEN,Subramanai Anthithan Alias Subramanian,All India Anna Dravida Munnetra Kazhagam,"1,42,623","94,617",66.30%,"2,388",2.50%
Srivaikuntam,226,GEN,S.Daniel Raj,Indian National Congress,"1,16,124","80,773",69.60%,"7,373",9.10%
Tuticorin,227,GEN,S.N. Rajendran,All India Anna Dravida Munnetra Kazhagam,"1,52,824","1,08,473",71.00%,"22,073",20.30%
Kanniyakumari,228,GEN,"Perumal Pillay, K.",All India Anna Dravida Munnetra Kazhagam,"1,21,584","87,597",72.00%,"7,657",8.70%
Nagercoil,229,GEN,"Retnaraj, S.",Dravida Munetra Kazhagam,"1,35,489","90,591",66.90%,"1,271",1.40%
Colachel,230,GEN,F.M. Rajarethnam,All India Anna Dravida Munnetra Kazhagam,"1,23,569","89,138",72.10%,589,0.70%
Padmanabhapuram,231,GEN,V.Balachandran,Independent,"1,10,266","79,437",72.00%,"4,317",5.40%
Thiruvattar,232,GEN,J. Hemachandran,Communist Party Of India (MARXIST),"1,10,731","77,440",69.90%,"4,089",5.30%
Vilavancode,233,GEN,"Sundardas, M.",Indian National Congress,"1,35,185","85,389",63.20%,"12,293",14.40%
Killiyoor,234,GEN,"Kumaradhas, D.",Janta Party,"1,05,740","65,586",62.00%,"11,486",17.50%
