ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Srivilliputhur,208,GEN,R. Thamaraikkani,Independent,"1,72,833","1,17,668",68.10%,"1,169",0.68
Rajapalayam,209,SC,T. Sathiah,All India Anna Dravida Munnetra Kazhagam,"1,77,434","1,11,280",62.70%,"31,488",17.75
Vilathikulam,210,GEN,Kanagavalli N.C.,All India Anna Dravida Munnetra Kazhagam,"1,47,419","88,647",60.10%,"21,709",14.73
Pottapidaram,211,SC,Rajamannar S.X.,All India Anna Dravida Munnetra Kazhagam,"1,36,686","80,837",59.10%,"27,325",19.99
Koilpatti,212,GEN,Shymala R.,All India Anna Dravida Munnetra Kazhagam,"1,61,982","97,157",60.00%,"28,251",17.44
Sankaranayanarkoil,213,SC,Gopalakrishnan V.,All India Anna Dravida Munnetra Kazhagam,"1,63,079","1,09,938",67.40%,"26,848",16.46
Vasudevanallur,214,SC,Eswaran R.,Indian National Congress,"1,49,712","97,839",65.40%,"20,314",13.57
Kadayanallur,215,GEN,S. Nagoormeeran,All India Anna Dravida Munnetra Kazhagam,"1,52,327","1,02,566",67.30%,"27,710",18.19
Tenkasi,216,GEN,Peter Alphonse S.,Indian National Congress,"1,61,652","1,08,739",67.30%,"36,879",22.81
Alangulam,217,GEN,Ramasubbu S.S.,Indian National Congress,"1,57,887","1,09,658",69.50%,"31,150",19.73
Tirunelveli,218,GEN,Veliah D.,All India Anna Dravida Munnetra Kazhagam,"1,65,240","1,02,277",61.90%,"30,285",18.33
Palayamcottai,219,GEN,Dharamalingam P.,All India Anna Dravida Munnetra Kazhagam,"1,69,762","1,00,522",59.20%,"6,891",4.06
Cheranmahadevi,220,GEN,Puthunainar Athithan R.,All India Anna Dravida Munnetra Kazhagam,"1,39,906","93,820",67.10%,"34,468",24.64
Ambasamudram,221,GEN,Murukgaiah Pandian R.,All India Anna Dravida Munnetra Kazhagam,"1,32,041","90,837",68.80%,"29,214",22.12
Nanguneri,222,GEN,Natesan Paulbaj V.,All India Anna Dravida Munnetra Kazhagam,"1,57,676","92,304",58.50%,"44,220",28.04
Radhapuram,223,GEN,Ramani Nallathambi,Indian National Congress,"1,59,398","85,712",53.80%,"32,731",20.53
Sattangulam,224,GEN,Kumari Anathan,Indian National Congress,"1,56,063","74,658",47.80%,"35,825",22.96
Tiruchendur,225,GEN,Chelladurai A.,All India Anna Dravida Munnetra Kazhagam,"1,73,304","94,977",54.80%,"26,648",15.38
Srivaikuntam,226,GEN,Daniel Raj S.,Indian National Congress,"1,42,524","84,500",59.30%,"27,314",19.16
Tuticorin,227,GEN,Ramesh V.P.R.,All India Anna Dravida Munnetra Kazhagam,"2,08,186","1,21,943",58.60%,"41,395",19.88
Kanniyakumari,228,GEN,Ammamuthu M.,All India Anna Dravida Munnetra Kazhagam,"1,58,543","93,208",58.80%,"34,359",21.67
Nagercoil,229,GEN,Moses M.,Indian National Congress,"1,77,734","1,01,479",57.10%,"30,052",16.91
Colachel,230,GEN,Pauliah A.,Indian National Congress,"1,60,212","89,680",56.00%,"33,015",20.61
Padmanabhapuram,231,GEN,Lawrence K.,All India Anna Dravida Munnetra Kazhagam,"1,43,018","84,888",59.40%,"23,293",16.29
Thiruvattar,232,GEN,Nadesan R.,Indian National Congress,"1,49,139","92,366",61.90%,"16,829",11.28
Vilavancode,233,GEN,M. Sundaradas,Indian National Congress,"1,78,941","1,05,032",58.70%,"11,309",6.32
Killiyoor,234,GEN,Kumaradas D.,Janata Dal,"1,40,026","80,600",57.60%,"1,168",0.83
