ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Melur,188,GEN,Madurai,Periyapullan @ Selvam P,All India Anna Dravida Munnetra Kazhagam,"2,34,129","1,71,744",73.40%,19723,11.50%,
Madurai East,189,GEN,Madurai,Moorthy P,Dravida Munetra Kazhagam,"2,86,211","2,11,227",73.80%,32772,15.50%,
Sholavandan,190,SC,Madurai,Manickam K,All India Anna Dravida Munnetra Kazhagam,"2,06,777","1,64,394",79.50%,24857,15.10%,
Madurai North,191,GEN,Madurai,Rajan Chellappa V.V.,All India Anna Dravida Munnetra Kazhagam,"2,33,677","1,50,889",64.60%,18839,12.50%,
Madurai South,192,GEN,Madurai,Saravanan .S.S.,All India Anna Dravida Munnetra Kazhagam,"2,20,259","1,43,693",65.20%,23763,16.50%,
Madurai Central,193,GEN,Madurai,Palanivel Thiagarajan,Dravida Munetra Kazhagam,"2,34,511","1,49,299",63.70%,5762,3.90%,
Madurai West,194,GEN,Madurai,Raju K,All India Anna Dravida Munnetra Kazhagam,"2,79,424","1,81,421",64.90%,16398,9.00%,
Thiruparankundram,195,GEN,Madurai,Seenivel S M,All India Anna Dravida Munnetra Kazhagam,"2,79,299","1,94,369",69.60%,22992,11.80%,
Thirumangalam,196,GEN,Madurai,Udhayakumar.R.B,All India Anna Dravida Munnetra Kazhagam,"2,61,153","2,02,432",77.50%,23590,11.70%,
Usilampatti,197,GEN,Madurai,Neethipathi P,All India Anna Dravida Munnetra Kazhagam,"2,69,103","1,99,454",74.10%,32906,16.50%,
Andipatti,198,GEN,Theni,Thangatamilselvam,All India Anna Dravida Munnetra Kazhagam,"2,52,747","1,96,700",77.80%,30196,15.40%,
Periyakulam,199,SC,Theni,Kathirkamu.K,All India Anna Dravida Munnetra Kazhagam,"2,58,145","1,90,735",73.90%,14350,7.50%,
Bodinayakanur,200,GEN,Theni,O. Panneerselvam,All India Anna Dravida Munnetra Kazhagam,"2,57,098","1,99,613",77.60%,15608,7.80%,
Cumbum,201,GEN,Theni,S.T.K.Jakkaiyan,All India Anna Dravida Munnetra Kazhagam,"2,62,147","1,91,863",73.20%,11221,5.80%,
Rajapalayam,202,GEN,Virudhunagar,Thangappandian. S.,Dravida Munetra Kazhagam,"2,21,788","1,68,398",75.90%,4802,2.90%,
Srivilliputhur,203,SC,Virudhunagar,Chandra Prabha. M,All India Anna Dravida Munnetra Kazhagam,"2,30,368","1,76,464",76.60%,36673,20.80%,
Sattur,204,GEN,Virudhunagar,Subramanian S.G.,All India Anna Dravida Munnetra Kazhagam,"2,22,271","1,74,484",78.50%,4427,2.50%,
Sivakasi,205,GEN,Virudhunagar,Rajenthrabhalaji K.T,All India Anna Dravida Munnetra Kazhagam,"2,34,432","1,72,998",73.80%,14748,8.50%,
Virudhunagar,206,GEN,Virudhunagar,Seenivasan A.R.R,Dravida Munetra Kazhagam,"2,05,887","1,50,512",73.10%,2870,1.90%,
Aruppukkottai,207,GEN,Virudhunagar,Ramachandran.K.K.S.S.R,Dravida Munetra Kazhagam,"2,04,976","1,62,400",79.20%,18054,11.10%,
Tiruchuli,208,GEN,Virudhunagar,Thangam Thenarasu T.,Dravida Munetra Kazhagam,"2,05,318","1,66,414",81.10%,26577,16.00%,
Paramakudi,209,SC,Ramanathapuram,Muthiah.S.Dr,All India Anna Dravida Munnetra Kazhagam,"2,46,166","1,67,411",68.00%,11389,6.80%,
Tiruvadanai,210,GEN,Ramanathapuram,Karunaas,All India Anna Dravida Munnetra Kazhagam,"2,71,962","1,85,710",68.30%,8696,4.70%,
Ramanathapuram,211,GEN,Ramanathapuram,Manikandan.M,All India Anna Dravida Munnetra Kazhagam,"2,81,563","1,91,474",68.00%,33222,17.40%,
Mudhukulathur,212,GEN,Ramanathapuram,S.Pandi,Indian National Congress,"2,97,492","2,02,217",68.00%,13348,6.60%,
Vilathikulam,213,GEN,Thoothukkudi,Uma Maheswari K,All India Anna Dravida Munnetra Kazhagam,"2,04,302","1,51,214",74.00%,18718,12.40%,
Thoothukkudi,214,GEN,Thoothukkudi,Geetha Jeevan P,Dravida Munetra Kazhagam,"2,75,218","1,86,311",67.70%,20908,11.20%,
Tiruchendur,215,GEN,Thoothukkudi,Anitha R Radhakrishnan,Dravida Munetra Kazhagam,"2,23,973","1,64,994",73.70%,26001,15.80%,
Srivaikuntam,216,GEN,Thoothukkudi,Shanmuganathan S.P,All India Anna Dravida Munnetra Kazhagam,"2,04,815","1,53,909",75.10%,3531,2.30%,
Ottapidaram,217,SC,Thoothukkudi,Sundararaj.R,All India Anna Dravida Munnetra Kazhagam,"2,17,224","1,57,784",72.60%,493,0.30%,
Kovilpatti,218,GEN,Thoothukkudi,C. Kadambur Raju,All India Anna Dravida Munnetra Kazhagam,"2,44,448","1,63,257",66.80%,428,0.30%,
Sankarankovil,219,SC,Tirunelveli,Rajalakshmi M,All India Anna Dravida Munnetra Kazhagam,"2,32,201","1,75,244",75.50%,14489,8.30%,
Vasudevanallur,220,SC,Tirunelveli,Manoharan A,All India Anna Dravida Munnetra Kazhagam,"2,19,497","1,61,244",73.50%,18758,11.60%,
Kadayanallur,221,GEN,Tirunelveli,Muhammed Abubacker.K.A.M,Indian Union Muslim League,"2,63,128","1,86,768",71.00%,1194,0.60%,
Tenkasi,222,GEN,Tirunelveli,Selvamohandas Pandian S,All India Anna Dravida Munnetra Kazhagam,"2,61,504","1,99,384",76.20%,462,0.20%,
Alangulam,223,GEN,Tirunelveli,Dr. Poongothai Aladi Aruna,Dravida Munetra Kazhagam,"2,43,056","1,91,237",78.70%,4754,2.50%,
Tirunelveli,224,GEN,Tirunelveli,Lakshmanan A.L.S.,Dravida Munetra Kazhagam,"2,67,540","1,87,358",70.00%,601,0.30%,
Ambasamudram,225,GEN,Tirunelveli,R. Murugaiah Pandian,All India Anna Dravida Munnetra Kazhagam,"2,33,876","1,69,487",72.50%,13166,7.80%,
Palayamkottai,226,GEN,Tirunelveli,Mohideen Khant.P.M,Dravida Munetra Kazhagam,"2,54,284","1,51,701",59.70%,15872,10.50%,
Nanguneri,227,GEN,Tirunelveli,Vasanthakumar. H,Indian National Congress,"2,38,937","1,71,071",71.60%,17315,10.10%,
Radhapuram,228,GEN,Tirunelveli,I. S. Inbadurai,All India Anna Dravida Munnetra Kazhagam,"2,37,643","1,69,516",71.30%,49,0.00%,
Kanniyakumari,229,GEN,Kanniyakumari,Austin. S,Dravida Munetra Kazhagam,"2,81,262","2,08,354",74.10%,5912,2.80%,
Nagercoil,230,GEN,Kanniyakumari,Suresh Rajan N,Dravida Munetra Kazhagam,"2,63,106","1,71,522",65.20%,20956,12.20%,
Colachel,231,GEN,Kanniyakumari,Prince J.G.,Indian National Congress,"2,60,607","1,65,612",63.50%,26028,15.70%,
Padmanabhapuram,232,GEN,Kanniyakumari,Mano Thangaraj T,Dravida Munetra Kazhagam,"2,33,736","1,60,201",68.50%,40905,25.50%,
Vilavancode,233,GEN,Kanniyakumari,Vijayadharani S,Indian National Congress,"2,40,547","1,60,990",66.90%,33143,20.60%,
Killiyoor,234,GEN,Kanniyakumari,Rajesh Kumar S,Indian National Congress,"2,49,258","1,52,131",61.00%,46295,30.40%,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
