ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Ariyalur,162,GEN,Elavazhagan. P.,All India Anna Dravida Munnetra Kazhagam,"1,82,450","1,28,385",70.37,10379,8.10%,
Andimadam,163,GEN,Guru Alias Gurunathan J.,Pattali Makkal Katchi,"1,57,834","1,12,077",71.01,27002,24.10%,
Jayankondam,164,GEN,Annadurai.S.,All India Anna Dravida Munnetra Kazhagam,"1,78,379","1,25,359",70.28,25010,20.00%,
Srirangam,165,GEN,Balasubramanian.K.K,All India Anna Dravida Munnetra Kazhagam,"2,37,683","1,37,540",57.87,12676,9.20%,
Tiruchirapalli-I,166,GEN,Paranikumor. B.,Dravida Munetra Kazhagam,"1,28,234","73,192",57.08,924,1.30%,
Tiruchirapalli-Ii,167,GEN,Anbil Periasamy,Dravida Munetra Kazhagam,"2,04,762","1,10,404",53.92,13944,12.60%,
Thiruverambur,168,GEN,Sekaran K.N.,Dravida Munetra Kazhagam,"2,62,074","1,29,510",49.42,10373,8.00%,
Sirkali,169,SC,Chandramohan.N,All India Anna Dravida Munnetra Kazhagam,"1,65,329","1,07,064",64.76,4430,4.10%,
Poompuhar,170,GEN,Renganathan.N,All India Anna Dravida Munnetra Kazhagam,"1,58,741","1,06,411",67.03,7455,7.00%,
Mayuram,171,GEN,Veerapandian.Jaga,Bharatiya Janta Party,"1,71,477","1,03,794",60.53,2452,2.40%,
Kuttalam,172,GEN,Natarajan,All India Anna Dravida Munnetra Kazhagam,"1,66,639","1,15,023",69.03,2644,2.30%,
Nannilam,173,SC,Tamizharasan C.K.,Tamil Maanila Congress (MOOPANAR),"1,71,039","1,13,763",66.51,19212,16.90%,
Tiruvarur,174,SC,Asokan. A.,Dravida Munetra Kazhagam,"1,83,974","1,22,703",66.7,1314,1.10%,
Nagapattinam,175,GEN,Jeevanantham R,All India Anna Dravida Munnetra Kazhagam,"1,67,176","1,11,719",66.83,16717,15.00%,
Vedaranyam,176,GEN,Vedarathinam .S.K,Dravida Munetra Kazhagam,"1,59,591","1,18,380",74.18,15000,12.70%,
Tiruthuraipundi,177,SC,Palanisamy . G,Communist Party Of India,"1,82,303","1,29,435",71,25059,19.40%,
Mannargudi,178,GEN,Sivapunniyam .V,Communist Party Of India,"1,85,994","1,25,269",67.35,20190,16.10%,
Pattukkottai,179,GEN,Rengarajan N.R.,Tamil Maanila Congress (MOOPANAR),"1,92,049","1,16,900",60.87,6950,5.90%,
Peravurani,180,GEN,Thirugnana Sambandham S.V.,Tamil Maanila Congress (MOOPANAR),"1,68,212","1,17,219",69.69,28659,24.40%,
Orathanad,181,GEN,Vaithilingam. R,All India Anna Dravida Munnetra Kazhagam,"1,75,921","1,19,723",68.05,19844,16.60%,
Thiruvonam,182,GEN,Rajendran. C,All India Anna Dravida Munnetra Kazhagam,"1,95,917","1,28,518",65.6,11223,8.70%,
