ac_name,ac_no,type,district,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Srivilliputhur,207,,,K. Gurusamy Alias Andi,DMK,65554,"41,522",63.34,"24,032",36.66
Rajapalayam,208,,,K. Suppu,CPI,72997,"36,827",50.45,"36,170",49.55
Vilathikulam,209,,,M. Rathnasabapathy,DMK,56834,"32,583",57.33,"24,251",42.67
Kovilpatti,210,,,S. Alagarsamy,CPI,62490,"38,844",62.16,"23,646",37.84
Ottapidaram,211,,,M. Muthiah,AIFB,48438,"27,571",56.92,"20,867",43.08
Sankarankoil,212,,,S. Subbiah,DMK,57692,"35,677",61.84,"22,015",38.16
Vasudevanallur,213,,,A. Velladurai,DMK,63121,"35,954",56.96,"27,167",43.04
Kadayanallur,214,,,A. R. Subbiah Mudaliar,DMK,71726,"37,649",52.49,"34,077",47.51
Tenkasi,215,,,Samsudeen Alias Kathiravan,DMK,70266,"39,110",55.66,"31,156",44.34
Alangulam,216,,,Aladi Aruna,DMK,71215,"36,526",51.29,"34,689",48.71
Ambasamudram,217,,,S. Sanmugamuthu Thevar,INC,67051,"31,192",46.52,"35,859",53.48
Cheranmahadevi,218,,,D. S. A. Sivaprakasam,SWA,69284,"34,739",50.14,"34,545",49.86
Gangaikondan,219,,,A. Karuppiah,DMK,56031,"32,963",58.83,"23,068",41.17
Tirunelveli,220,,,P. Padmanabhan,DMK,69699,"43,325",62.16,"26,374",37.84
Melapalayam,221,,,M. Kather Mohideen S.,IUML,62524,"35,470",56.73,"27,054",43.27
Srivaikuntam,222,,,S. P. Adithanar,DMK,67933,"37,329",54.95,"30,604",45.05
Thoothukkudi,223,,,Ramalingam R.,DMK,68498,"39,030",56.98,"29,468",43.02
Tiruchendur,224,,,Edmund,DMK,74662,"39,974",53.54,"34,688",46.46
Sattangulam,225,,,K. P. Kandasasmy,DMK,64791,"33,510",51.72,"31,281",48.28
Nanguneri,226,,,T. Ganapathy,DMK,61960,"33,099",53.42,"28,861",46.58
Radhapuram,227,,,V. Karthesan,DMK,65166,"33,678",51.68,"31,488",48.32
Kanniyakumari,228,,,K. Rajah Pillai,DMK,70223,"35,884",51.1,"34,339",48.9
Nagercoil,229,,,M. Moses,SWA,72210,"34,726",48.09,"37,484",51.91
Colachel,230,,,A. Pauliah,INC,68027,"37,401",54.98,"30,626",45.02
Padmanabhapuram,231,,,A. Swamidhas,INC,57834,"32,416",56.05,"25,418",43.95
Tiruvattar,232,,,James. J,INC,60505,"36,097",59.66,"24,408",40.34
Vilavancode,233,,,R. Ponnappan Nadar,INC,52013,"32,139",61.79,"19,874",38.21
Killiyoor,234,,,N. Dennis,INC,55539,"34,573",62.25,"20,966",37.75
