ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage,
Aruppukottai,204,GEN,"Thangapandian, V.",Dravida Munetra Kazhagam,"1,59,117","1,08,733",68.30%,"16,365",15.10%,
Sattur,205,GEN,"Vijayakumar, K.M.",Dravida Munetra Kazhagam,"2,01,201","1,41,832",70.50%,"9,364",6.60%,
Virudhunagar,206,GEN,"Seenivasan, A.R.R.",Dravida Munetra Kazhagam,"1,79,060","1,20,044",67.00%,"23,487",19.60%,
Sivakasi,207,GEN,"Chokkar, R.",Tamil Maanila Congress (MOOPANAR),"2,35,416","1,61,979",68.80%,"18,732",11.60%,
Srivilliputhur,208,GEN,R. Thamaraikkani,All India Anna Dravida Munnetra Kazhagam,"1,83,930","1,33,906",72.80%,"8,667",6.50%,
Rajapalayam,209,SC,V.P. Rajan,Dravida Munetra Kazhagam,"1,92,670","1,35,928",70.50%,"18,939",13.90%,
Vilathikulam,210,GEN,"Ravisankar, K.",Dravida Munetra Kazhagam,"1,49,924","97,904",65.30%,634,0.60%,
Pottapidaram,211,SC,"Krishnasamy, K.",Jharkhand Party,"1,38,670","93,620",67.50%,"1,148",1.20%,
Koilpatti,212,GEN,"Ayyalusamy, L.",Communist Party Of India,"1,75,222","1,15,456",65.90%,"7,487",6.50%,
Sankaranayanarkoil,213,SC,"Karuppasamy, C.",All India Anna Dravida Munnetra Kazhagam,"1,73,541","1,20,320",69.30%,600,0.50%,
Vasudevanallur,214,SC,"Eswaran, R.",Tamil Maanila Congress (MOOPANAR),"1,53,308","1,06,401",69.40%,616,0.60%,
Kadayanallur,215,GEN,"Naina Mohamed, K.",Dravida Munetra Kazhagam,"1,59,882","1,12,610",70.40%,"16,692",14.80%,
Tenkasi,216,GEN,"Ravi Arunan, K.",Tamil Maanila Congress (MOOPANAR),"1,73,679","1,19,984",69.10%,"30,760",25.60%,
Alangulam,217,GEN,Aladi Aruna,Dravida Munetra Kazhagam,"1,67,697","1,22,334",72.90%,"24,336",19.90%,
Tirunelveli,218,GEN,"Subramanian, A.L.",Dravida Munetra Kazhagam,"1,70,499","1,17,676",69.00%,"23,324",19.80%,
Palayamcottai,219,GEN,Mohamed Kodar Maideen,Dravida Munetra Kazhagam,"1,86,856","1,16,599",62.40%,"44,364",38.00%,
Cheranmahadevi,220,GEN,"Veldurai, P.",Tamil Maanila Congress (MOOPANAR),"1,45,196","1,04,199",71.80%,"12,107",11.60%,
Ambasamudram,221,GEN,R. Avudaiappan,Dravida Munetra Kazhagam,"1,44,992","99,365",68.50%,"19,689",19.80%,
Nanguneri,222,GEN,"Krishnan, S.V.",Communist Party Of India,"1,62,580","98,242",60.40%,"3,149",3.20%,
Radhapuram,223,GEN,"Appavu, M.",Tamil Maanila Congress (MOOPANAR),"1,67,737","1,03,160",61.50%,"28,946",28.10%,
Sattangulam,224,GEN,"Mani Nadar, S.S.",Tamil Maanila Congress (MOOPANAR),"1,57,799","84,847",53.80%,"25,236",29.70%,
Tiruchendur,225,GEN,S. Jennifer Chandran,Dravida Munetra Kazhagam,"1,80,531","1,02,947",57.00%,"31,031",30.10%,
Srivaikuntam,226,GEN,S. David Selwyn,Dravida Munetra Kazhagam,"1,48,864","91,646",61.60%,"13,209",14.40%,
Tuticorin,227,GEN,N. Periasamy,Dravida Munetra Kazhagam,"2,29,353","1,52,407",66.50%,"21,371",14.00%,
Kanniyakumari,228,GEN,N. Suresh Rajan,Dravida Munetra Kazhagam,"1,65,258","1,03,156",62.40%,"21,863",21.20%,
Nagercoil,229,GEN,"Moses, M.",Tamil Maanila Congress (MOOPANAR),"1,85,144","1,10,160",59.50%,"28,478",25.90%,
Colachel,230,GEN,"Bernard, Era",Dravida Munetra Kazhagam,"1,65,972","1,00,259",60.40%,"7,426",7.40%,
Padmanabhapuram,231,GEN,"Velayuthan, C.",Bharatiya Janta Party,"1,48,031","89,656",60.60%,"4,540",5.10%,
Thiruvattar,232,GEN,V. Alban,Dravida Munetra Kazhagam,"1,54,690","95,846",62.00%,"12,354",12.90%,
Vilavancode,233,GEN,D. Mony,Communist Party Of India (MARXIST),"1,69,313","1,04,356",61.60%,"21,282",20.40%,
Killiyoor,234,GEN,Kumaradas,Tamil Maanila Congress (MOOPANAR),"1,40,862","83,107",59.00%,"10,417",12.50%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
